iter	Passed	Remaining
0	0	94
1	1	83
2	2	80
3	3	73
4	3	71
5	4	70
6	5	70
7	6	70
8	6	69
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	12	64
16	12	63
17	14	67
18	15	68
19	17	68
20	17	67
21	18	66
22	19	65
23	20	64
24	21	63
25	21	62
26	22	61
27	23	60
28	24	59
29	24	58
30	25	57
31	26	56
32	27	55
33	28	55
34	29	54
35	30	54
36	31	53
37	32	52
38	33	51
39	33	50
40	34	49
41	34	48
42	35	47
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	40	41
49	40	40
50	41	39
51	42	39
52	43	38
53	44	37
54	45	36
55	45	35
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	29
63	51	29
64	52	28
65	53	27
66	54	26
67	54	25
68	55	24
69	56	24
70	57	23
71	58	22
72	59	21
73	59	20
74	60	20
75	61	19
76	61	18
77	62	17
78	63	16
79	64	16
80	64	15
81	65	14
82	66	13
83	66	12
84	67	11
85	68	11
86	69	10
87	69	9
88	70	8
89	71	7
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
