iter	Passed	Remaining
0	142	142787
1	143	71639
2	144	47947
3	145	36185
4	146	29203
5	147	24508
6	149	21139
7	150	18604
8	151	16643
9	152	15049
10	152	13726
11	153	12617
12	153	11685
13	154	10882
14	155	10185
15	155	9581
16	156	9041
17	156	8563
18	157	8135
19	158	7747
20	159	7413
21	159	7098
22	160	6806
23	160	6541
24	161	6295
25	161	6066
26	162	5856
27	163	5662
28	163	5482
29	164	5312
30	165	5159
31	165	5011
32	166	4872
33	166	4743
34	167	4621
35	168	4504
36	168	4394
37	169	4290
38	170	4193
39	170	4099
40	171	4010
41	172	3924
42	173	3856
43	174	3782
44	174	3711
45	175	3641
46	176	3572
47	176	3507
48	177	3447
49	178	3385
50	178	3328
51	179	3277
52	180	3224
53	181	3171
54	181	3121
55	182	3072
56	182	3026
57	183	2981
58	184	2938
59	184	2896
60	185	2855
61	186	2817
62	187	2781
63	187	2746
64	188	2711
65	189	2679
66	189	2644
67	190	2610
68	191	2577
69	191	2545
70	192	2514
71	192	2484
72	193	2454
73	193	2424
74	194	2397
75	195	2371
76	195	2344
77	196	2319
78	196	2294
79	197	2270
80	198	2248
81	198	2226
82	199	2203
83	200	2185
84	201	2164
85	201	2143
86	202	2123
87	202	2102
88	203	2082
89	203	2062
90	204	2043
91	205	2024
92	205	2005
93	206	1987
94	206	1970
95	207	1953
96	207	1935
97	208	1918
98	209	1902
99	209	1886
100	210	1871
101	210	1855
102	211	1840
103	211	1825
104	212	1810
105	212	1796
106	213	1783
107	214	1769
108	214	1756
109	215	1743
110	216	1730
111	216	1717
112	217	1705
113	217	1693
114	218	1681
115	219	1669
116	219	1657
117	220	1645
118	220	1634
119	221	1622
120	221	1612
121	222	1600
122	223	1590
123	223	1579
124	224	1569
125	225	1561
126	225	1550
127	226	1540
128	226	1530
129	227	1521
130	227	1512
131	228	1503
132	229	1494
133	230	1488
134	231	1480
135	231	1472
136	232	1464
137	233	1455
138	233	1448
139	234	1440
140	235	1431
141	235	1422
142	236	1414
143	236	1407
144	237	1399
145	237	1391
146	238	1383
147	238	1375
148	239	1368
149	240	1362
150	241	1355
151	241	1348
152	242	1340
153	242	1333
154	243	1326
155	243	1320
156	244	1314
157	245	1308
158	246	1301
159	246	1295
160	247	1287
161	247	1280
162	248	1274
163	248	1268
164	249	1261
165	249	1255
166	250	1248
167	250	1242
168	251	1236
169	252	1231
170	252	1225
171	253	1219
172	253	1213
173	254	1208
174	255	1202
175	255	1197
176	256	1191
177	256	1185
178	257	1180
179	257	1175
180	258	1170
181	259	1165
182	259	1160
183	260	1155
184	261	1150
185	261	1144
186	262	1140
187	262	1135
188	263	1130
189	263	1125
190	264	1119
191	264	1115
192	265	1110
193	266	1105
194	266	1100
195	267	1095
196	267	1091
197	268	1086
198	268	1081
199	269	1077
200	269	1072
201	270	1068
202	271	1064
203	271	1059
204	272	1055
205	273	1053
206	274	1049
207	274	1045
208	275	1041
209	275	1037
210	276	1033
211	276	1029
212	277	1025
213	278	1021
214	278	1017
215	279	1013
216	279	1009
217	280	1005
218	280	1001
219	281	997
220	281	993
221	282	989
222	283	986
223	283	982
224	284	978
225	284	974
226	285	971
227	285	967
228	286	964
229	287	963
230	288	960
231	289	957
232	289	954
233	290	950
234	291	947
235	291	943
236	292	940
237	292	937
238	293	933
239	293	930
240	294	926
241	294	923
242	295	920
243	295	916
244	296	913
245	297	910
246	297	907
247	298	904
248	298	900
249	299	897
250	299	894
251	300	891
252	300	888
253	301	885
254	302	883
255	303	881
256	304	879
257	305	877
258	305	875
259	306	872
260	307	870
261	307	867
262	308	864
263	309	862
264	309	859
265	310	856
266	310	853
267	311	850
268	311	847
269	312	844
270	312	841
271	313	839
272	314	836
273	314	833
274	315	831
275	316	829
276	316	827
277	317	824
278	318	822
279	318	819
280	319	817
281	319	814
282	320	811
283	321	809
284	321	806
285	322	804
286	322	801
287	323	799
288	323	796
289	324	793
290	324	791
291	325	789
292	326	786
293	326	784
294	327	781
295	327	779
296	328	777
297	328	774
298	329	772
299	330	770
300	331	768
301	331	766
302	332	764
303	333	762
304	333	760
305	334	758
306	335	756
307	335	754
308	336	751
309	336	749
310	337	747
311	338	745
312	338	743
313	339	741
314	339	738
315	340	736
316	340	734
317	341	732
318	341	729
319	342	727
320	342	725
321	343	723
322	344	721
323	345	719
324	345	718
325	346	716
326	347	714
327	347	712
328	348	710
329	348	708
330	349	706
331	349	704
332	350	702
333	351	700
334	351	698
335	352	696
336	352	694
337	353	692
338	354	690
339	354	688
340	355	686
341	355	684
342	356	682
343	356	680
344	357	678
345	358	677
346	359	675
347	359	674
348	360	673
349	361	671
350	362	670
351	363	668
352	363	666
353	364	664
354	365	663
355	365	661
356	366	659
357	366	657
358	367	655
359	367	654
360	368	652
361	369	650
362	369	648
363	370	646
364	370	645
365	371	643
366	372	642
367	372	640
368	373	638
369	374	637
370	374	635
371	375	633
372	375	631
373	376	630
374	377	628
375	377	626
376	378	625
377	379	623
378	379	622
379	380	620
380	381	619
381	381	617
382	382	616
383	382	614
384	383	612
385	384	610
386	384	609
387	385	608
388	386	606
389	387	605
390	387	604
391	388	603
392	389	601
393	390	600
394	391	598
395	391	597
396	392	596
397	393	594
398	393	593
399	394	591
400	394	589
401	395	588
402	396	586
403	396	585
404	397	583
405	398	582
406	398	580
407	399	579
408	399	577
409	400	576
410	401	574
411	401	573
412	402	571
413	402	570
414	403	568
415	403	567
416	404	565
417	405	564
418	405	562
419	406	560
420	406	559
421	407	558
422	408	556
423	408	555
424	409	554
425	410	552
426	410	551
427	411	549
428	412	548
429	412	546
430	413	545
431	414	545
432	416	544
433	417	544
434	418	544
435	419	543
436	420	542
437	422	541
438	422	540
439	423	539
440	424	537
441	425	536
442	425	535
443	426	534
444	427	532
445	427	531
446	428	530
447	429	528
448	429	527
449	430	525
450	430	524
451	431	523
452	433	522
453	433	521
454	434	520
455	435	519
456	436	518
457	436	517
458	437	516
459	438	515
460	439	513
461	440	512
462	441	511
463	441	510
464	442	509
465	443	508
466	444	506
467	444	505
468	445	504
469	446	502
470	446	501
471	447	500
472	448	500
473	449	499
474	450	497
475	451	496
476	452	495
477	452	494
478	453	493
479	454	492
480	456	492
481	457	491
482	457	490
483	458	489
484	459	488
485	460	486
486	460	485
487	461	484
488	462	483
489	462	481
490	463	480
491	464	479
492	464	477
493	465	476
494	466	475
495	466	474
496	467	473
497	468	472
498	469	471
499	470	470
500	471	469
501	471	468
502	472	466
503	472	465
504	473	464
505	474	462
506	475	462
507	476	461
508	476	459
509	477	458
510	478	457
511	478	456
512	479	455
513	480	454
514	481	453
515	482	452
516	483	451
517	484	450
518	485	449
519	486	448
520	486	447
521	487	446
522	488	445
523	488	444
524	489	443
525	490	441
526	491	440
527	492	439
528	492	438
529	493	437
530	494	436
531	495	436
532	497	435
533	497	434
534	498	433
535	499	432
536	500	431
537	500	430
538	501	428
539	502	427
540	502	426
541	503	425
542	504	424
543	504	423
544	505	422
545	506	420
546	506	419
547	507	418
548	507	417
549	508	415
550	508	414
551	509	413
552	510	413
553	511	411
554	512	410
555	513	409
556	513	408
557	514	407
558	515	406
559	515	405
560	516	403
561	516	402
562	517	401
563	518	400
564	519	399
565	519	398
566	520	397
567	521	396
568	521	395
569	522	394
570	523	393
571	524	392
572	525	391
573	526	390
574	527	390
575	529	389
576	530	388
577	531	388
578	532	387
579	533	386
580	534	385
581	534	384
582	535	383
583	536	382
584	536	380
585	537	379
586	538	378
587	539	378
588	540	377
589	541	375
590	541	374
591	542	373
592	543	372
593	543	371
594	544	370
595	545	369
596	545	368
597	546	367
598	546	366
599	547	364
600	547	363
601	548	362
602	549	361
603	549	360
604	550	359
605	550	358
606	551	356
607	552	355
608	552	354
609	553	353
610	553	352
611	554	351
612	555	350
613	556	349
614	556	348
615	557	347
616	558	346
617	558	345
618	559	344
619	559	343
620	560	341
621	560	340
622	561	339
623	561	338
624	562	337
625	563	336
626	563	335
627	564	334
628	564	333
629	565	331
630	565	330
631	566	329
632	567	328
633	567	327
634	568	326
635	568	325
636	569	324
637	570	323
638	570	322
639	571	321
640	572	320
641	572	319
642	573	318
643	574	317
644	574	316
645	575	315
646	575	314
647	576	313
648	577	312
649	577	311
650	578	310
651	578	308
652	579	307
653	579	306
654	580	305
655	581	304
656	582	303
657	582	303
658	583	302
659	584	301
660	585	300
661	586	299
662	586	298
663	587	297
664	588	296
665	588	295
666	589	294
667	590	293
668	590	292
669	591	291
670	592	290
671	592	289
672	593	288
673	593	287
674	594	286
675	595	285
676	596	284
677	596	283
678	597	282
679	598	281
680	599	280
681	600	279
682	601	279
683	602	278
684	603	277
685	604	276
686	605	275
687	605	274
688	606	273
689	607	272
690	607	271
691	608	270
692	609	269
693	609	268
694	610	267
695	611	266
696	611	266
697	612	265
698	613	264
699	613	263
700	614	262
701	614	261
702	615	260
703	616	259
704	616	258
705	617	257
706	618	256
707	618	255
708	619	254
709	619	253
710	620	252
711	621	251
712	621	250
713	622	249
714	623	248
715	624	247
716	625	246
717	625	245
718	626	244
719	627	243
720	628	243
721	629	242
722	630	241
723	631	240
724	632	239
725	633	238
726	634	238
727	635	237
728	636	236
729	637	235
730	638	234
731	639	234
732	640	233
733	641	232
734	642	231
735	643	230
736	644	229
737	645	229
738	646	228
739	647	227
740	648	226
741	648	225
742	649	224
743	651	224
744	652	223
745	653	222
746	654	221
747	654	220
748	655	219
749	656	218
750	657	217
751	657	216
752	658	216
753	659	215
754	660	214
755	660	213
756	661	212
757	662	211
758	662	210
759	663	209
760	664	208
761	665	207
762	665	206
763	666	205
764	667	204
765	668	204
766	668	203
767	669	202
768	670	201
769	670	200
770	671	199
771	672	198
772	672	197
773	673	196
774	674	195
775	675	194
776	676	194
777	677	193
778	677	192
779	678	191
780	679	190
781	680	189
782	681	188
783	681	187
784	682	186
785	683	186
786	684	185
787	684	184
788	685	183
789	685	182
790	686	181
791	687	180
792	687	179
793	688	178
794	689	177
795	689	176
796	690	175
797	690	174
798	691	173
799	692	173
800	693	172
801	694	171
802	695	170
803	695	169
804	696	168
805	697	167
806	697	166
807	698	165
808	698	165
809	699	164
810	699	163
811	700	162
812	701	161
813	701	160
814	702	159
815	702	158
816	703	157
817	703	156
818	704	155
819	705	154
820	705	153
821	706	152
822	707	152
823	707	151
824	708	150
825	708	149
826	709	148
827	709	147
828	710	146
829	711	145
830	711	144
831	712	143
832	712	142
833	713	141
834	713	141
835	714	140
836	715	139
837	715	138
838	716	137
839	716	136
840	717	135
841	717	134
842	718	133
843	719	132
844	719	131
845	720	131
846	721	130
847	721	129
848	722	128
849	723	127
850	724	126
851	724	125
852	725	124
853	725	124
854	726	123
855	727	122
856	727	121
857	728	120
858	728	119
859	729	118
860	730	117
861	730	116
862	731	116
863	731	115
864	732	114
865	733	113
866	733	112
867	734	111
868	734	110
869	735	109
870	736	109
871	736	108
872	737	107
873	738	106
874	739	105
875	739	104
876	740	103
877	741	102
878	741	102
879	742	101
880	742	100
881	743	99
882	743	98
883	744	97
884	745	96
885	745	95
886	746	95
887	746	94
888	747	93
889	747	92
890	748	91
891	749	90
892	749	89
